CENTRO;Nombre;Apellido1;Apellido2;DNI/NIF;DETALLE_MATERIAS
C.C. JUAN XXIII;Paula;Gámez;Baños;88126719U;Historia de España, Lengua Castellana y Literatura, Francés (Fase de Acceso), Matemáticas II, Biología, Química
C.C. JUAN XXIII;Marcos;Tejada;Dueñas;40733372M;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa, Geografía
C.C. JUAN XXIII;Marta;Obellón;Galeno;79642372V;Economía de la Empresa
C.C. JUAN XXIII;Sofia;Carrillo;Rivera;67183718X;Biología, Química
C.C. JUAN XXIII;Nahia;De la Cruz;Carvajal;36424818E;Diseño, Matemáticas Aplicadas a las CCSS
C.D.P. ADENTA;Santiago;Barrera;Tovar;I2183267Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Latín II, Historia de la Filosofía
C.D.P. ADENTA;Jan;Gámez;Lemus;76007121Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Química
C.D.P. ADENTA;Matias;Ospino;Valle;29336703J;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
C.D.P. ADENTA;Irene;Guardiola;Villar;27432133S;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
C.D.P. ALBORÁN;Francisco;Murillo;Escovar;50546860B;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Fundamentos del Arte II, Cultura Audiovisual II, Diseño
C.D.P. ALBORÁN;Fatima;Del Castillo;Peña;I9938723G;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Biología, Matemáticas II, Química
C.D.P. ALBORÁN;Saul;Paladino;Casas;34327944O;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. ALBORÁN;Lina;Caldera;Icaza;23261046K;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Dibujo Técnico II, Física
C.D.P. ALBORÁN;Alan;Chávez;Tablada;W3529968Z;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Economía de la Empresa
C.D.P. ALUA;Ander;Leandro;Fierro;99215016Q;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas Aplicadas a las CCSS, Historia de la Filosofía
C.D.P. ALUA;Ian;Solís;Naranjo;64219690V;Historia de España, Lengua Castellana y Literatura, Inglés (Fase de Acceso), Matemáticas II, Biología, Química
